dia,acumulados
1,1
2,1
3,2
4,8
5,9
6,12
7,17
8,19
9,21
10,31
11,34
12,45
13,56
14,76
15,78
16,97
17,128
18,158
19,225
20,265
21,301
22,385
23,502
24,588
25,689
26,744
27,819
28,965
29,1053
30,1132
31,1264
32,1352
33,1450
34,1553
35,1627
36,1715
37,1795
38,1894
39,1975
40,2142
41,2208
42,2277
43,2443
44,2571
45,2669
46,2758
47,2839
48,2941
49,3031
50,3144
51,3288
52,3435
53,3607
54,3780
55,3892
56,4003
57,4127
58,4285
59,4428
60,4532
61,4681
62,4783
63,4887
64,5020
65,5208
66,5371
67,5611
68,5776
69,6034
70,6265
71,6563
72,6879
73,7134
74,7479
75,7805
76,8068
77,8371
78,8809
79,9283
80,9931
81,10649
82,11353
83,12076
84,12628
85,13228
86,13933
87,14702
88,15419
89,16214
90,16851
91,17415
92,18319
93,19268
94,20197
95,21037
96,22020
97,22794
98,23620
99,24761
100,25987
101,27373
102,28764
103,30295
104,31577
105,32785
106,34159
107,35552
108,37510
109,39570
110,41204
111,42785
112,44931
113,47216
114,49851
115,52457
116,55343
117,57744
118,59933
119,62268
120,64530
121,67197
122,69941
123,72786
124,75376
125,77815
126,80447
127,83426
128,87030
129,90694
130,94060
131,97059
132,100166
133,103265
134,106910
135,111160
136,114783
137,119301
138,122524
139,126755
140,130774
141,136118
142,141900
143,148027
144,153520
145,158334
146,162526
147,167416
148,173355
149,178996
150,185373
151,191302
152,196543
153,201919
154,206743
155,213535
156,220682
157,228195
158,235677
159,241811
160,246499
161,253868
162,260911
163,268574
164,276072
165,282437
166,289100
167,294569
168,299126
169,305966
